ticker,name,market,sector,industry
127980,화인써키트,KOSDAQ,Technology,Electronic Components
043910,자연과환경,KOSDAQ,,(분류 없음)
220180,폴라리스AI핸디,KOSDAQ,Technology,Software - Infrastructure
446840,지슨,KOSDAQ,,(분류 없음)
007530,와이엠,KOSDAQ,,(분류 없음)
203450,유니온바이오메트릭스,KOSDAQ,,(분류 없음)
321820,아티스트컴퍼니,KOSDAQ,Communication Services,Advertising Agencies
086040,바이오톡스텍,KOSDAQ,,(분류 없음)
200780,비씨월드제약,KOSDAQ,Healthcare,Drug Manufacturers - General
089140,넥스턴앤롤코리아,KOSDAQ,,(분류 없음)
083550,케이엠,KOSDAQ,,(분류 없음)
006920,모헨즈,KOSDAQ,Basic Materials,Building Materials
071850,캐스텍코리아,KOSDAQ,Consumer Cyclical,Auto Parts
239890,피엔에이치테크,KOSDAQ,Basic Materials,Specialty Chemicals
364950,에이아이코리아,KOSDAQ,Technology,Semiconductors
393210,토마토시스템,KOSDAQ,,(분류 없음)
080520,오디텍,KOSDAQ,,(분류 없음)
059100,아이컴포넌트,KOSDAQ,Technology,Electronic Components
184230,SGA솔루션즈,KOSDAQ,Technology,Software - Application
072770,멤레이비티,KOSDAQ,,(분류 없음)
148930,에이치와이티씨,KOSDAQ,Technology,Electronic Components
360350,코셈,KOSDAQ,Technology,Scientific & Technical Instruments
450330,하스,KOSDAQ,Healthcare,Medical Instruments & Supplies
365590,하이딥,KOSDAQ,Technology,Semiconductor Equipment & Materials
075130,플랜티넷,KOSDAQ,Technology,Software - Infrastructure
020180,대신정보통신,KOSDAQ,,(분류 없음)
206400,베노티앤알,KOSDAQ,Communication Services,Electronic Gaming & Multimedia
432430,와이랩,KOSDAQ,Communication Services,Entertainment
207760,미스터블루,KOSDAQ,Communication Services,Publishing
091970,LSK아이로봇,KOSDAQ,Basic Materials,Specialty Chemicals
064520,테크엘,KOSDAQ,,(분류 없음)
025440,DH오토웨어,KOSDAQ,Consumer Cyclical,Auto Parts
408900,스튜디오미르,KOSDAQ,Communication Services,Entertainment
317240,TS트릴리온,KOSDAQ,Consumer Defensive,Household & Personal Products
031510,오스템,KOSDAQ,Consumer Cyclical,Auto Parts
066360,체리부로,KOSDAQ,Consumer Defensive,Packaged Foods
090410,덕신이피씨,KOSDAQ,Industrials,Industrial Distribution
258830,세종메디칼,KOSDAQ,,(분류 없음)
105550,엣지파운드리,KOSDAQ,Consumer Cyclical,Auto Parts
133750,메가엠디,KOSDAQ,Consumer Defensive,Education & Training Services
128540,에코캡,KOSDAQ,Consumer Cyclical,Auto Parts
022220,티케이지애강,KOSDAQ,Industrials,Building Products & Equipment
419120,산돌,KOSDAQ,Technology,Software - Infrastructure
475460,미트박스,KOSDAQ,Consumer Cyclical,Internet Retail
033170,시그네틱스,KOSDAQ,Technology,Semiconductor Equipment & Materials
318410,비비씨,KOSDAQ,Industrials,Tools & Accessories
